Id,Symbol,Market,SecurityNameTh,SecurityName
248,IEC,SET,บริษัท อินเตอร์แนชั่นเนิลเอนจีเนียริง จำกัด (มหาชน),THE INTERNATIONAL ENGINEERING PUBLIC COMPANY LIMITED
249,IFEC,SET,บริษัท อินเตอร์ ฟาร์อีสท์ เอ็นเนอร์ยี่ คอร์ปอเรชั่น จำกัด (มหาชน),INTER FAR EAST ENERGY CORPORATION PUBLIC COMPANY LIMITED
250,IFS,SET,บริษัท ไอเอฟเอส แคปปิตอล (ประเทศไทย) จำกัด (มหาชน),IFS CAPITAL (THAILAND) PUBLIC COMPANY LIMITED
251,IHL,SET,บริษัท อินเตอร์ไฮด์ จำกัด (มหาชน),INTERHIDES PUBLIC COMPANY LIMITED
252,III,SET,บริษัท ทริพเพิล ไอ โลจิสติกส์ จำกัด (มหาชน),TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED
253,ILINK,SET,บริษัท อินเตอร์ลิ้งค์ คอมมิวนิเคชั่น จำกัด (มหาชน),INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED
254,IMPACT,SET,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์อิมแพ็คโกรท,IMPACT GROWTH REAL ESTATE INVESTMENT TRUST
255,INET,SET,บริษัท อินเทอร์เน็ตประเทศไทย จำกัด (มหาชน),INTERNET THAILAND PUBLIC COMPANY LIMITED
256,INGRS,SET,บริษัท อิงเกรส อินดัสเตรียล (ไทยแลนด์) จำกัด (มหาชน),INGRESS INDUSTRIAL (THAILAND) PUBLIC COMPANY LIMITED
257,INOX,SET,บริษัท โพสโค-ไทยน๊อคซ์ จำกัด (มหาชน),POSCO-THAINOX PUBLIC COMPANY LIMITED
258,INSURE,SET,บริษัท อินทรประกันภัย จำกัด (มหาชน),INDARA INSURANCE PUBLIC COMPANY LIMITED
259,INTUCH,SET,บริษัท อินทัช โฮลดิ้งส์ จำกัด (มหาชน),INTOUCH HOLDINGS PUBLIC COMPANY LIMITED
260,IRC,SET,บริษัท อีโนเว รับเบอร์ (ประเทศไทย) จำกัด (มหาชน),INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED
261,IRCP,mai,บริษัท อินเตอร์เนชั่นแนล รีเสริช คอร์ปอเรชั่น จำกัด (มหาชน),INTERNATIONAL RESEARCH CORPORATION PUBLIC CO.&sbquo; LTD.
262,IRPC,SET,บริษัท ไออาร์พีซี จำกัด (มหาชน),IRPC PUBLIC COMPANY LIMITED
263,IT,SET,บริษัท ไอที ซิตี้ จำกัด (มหาชน),IT CITY PUBLIC COMPANY LIMITED
264,ITD,SET,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด (มหาชน),ITALIAN-THAI DEVELOPMENT PUBLIC COMPANY LIMITED
265,ITEL,mai,บริษัท อินเตอร์ลิ้งค์ เทเลคอม จำกัด (มหาชน),INTERLINK TELECOM PUBLIC COMPANY LIMITED
266,IVL,SET,บริษัท อินโดรามา เวนเจอร์ส จำกัด (มหาชน),INDORAMA VENTURES PUBLIC COMPANY LIMITED
267,J,SET,บริษัท เจเอเอส แอสเซ็ท จำกัด (มหาชน),JAS ASSET PUBLIC COMPANY LIMITED
268,JAS,SET,บริษัทจัสมิน อินเตอร์เนชั่นแนล จำกัด (มหาชน),JASMINE INTERNATIONAL PUBLIC COMPANY LIMITED
269,JASIF,SET,กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต จัสมิน,JASMINE BROADBAND INTERNET INFRASTRUCTURE FUND
270,JCP,SET,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ เจซี,JC LEASEHOLD PROPERTY FUND
271,JCT,SET,บริษัท แจ๊กเจียอุตสาหกรรม (ไทย) จำกัด (มหาชน),JACK CHIA INDUSTRIES (THAILAND) PUBLIC COMPANY LIMITED
272,JMART,SET,บริษัท เจ มาร์ท จำกัด (มหาชน),JAY MART PUBLIC COMPANY LIMITED
273,JMT,SET,บริษัท เจ เอ็ม ที เน็ทเวอร์ค เซอร์วิสเซ็ส จำกัด (มหาชน),JMT NETWORK SERVICES PUBLIC COMPANY LIMITED
274,JSP,mai,บริษัท เจ. เอส. พี. พร็อพเพอร์ตี้ จำกัด (มหาชน),J.S.P. PROPERTY PUBLIC COMPANY LIMITED
275,JTS,SET,บริษัท จัสมิน เทเลคอม ซิสเต็มส์ จำกัด (มหาชน),JASMINE TELECOM SYSTEMS PUBLIC COMPANY LIMITED
276,JUBILE,mai,บริษัท ยูบิลลี่ เอ็นเตอร์ไพรส์ จำกัด (มหาชน),JUBILEE ENTERPRISE PUBLIC COMPANY LIMITED
277,JUTHA,SET,บริษัท จุฑานาวี จำกัด (มหาชน),JUTHA MARITIME PUBLIC COMPANY LIMITED
278,JWD,SET,บริษัท เจดับเบิ้ลยูดี อินโฟโลจิสติกส์ จำกัด (มหาชน),JWD INFOLOGISTICS PUBLIC COMPANY LIMITED
279,K,mai,บริษัท คิงส์เมน ซี.เอ็ม.ที.ไอ. จำกัด (มหาชน),KINGSMEN C.M.T.I. PUBLIC COMPANY LIMITED
280,KAMART,SET,บริษัท คาร์มาร์ท จำกัด (มหาชน),KARMARTS PUBLIC COMPANY LIMITED
